event,label,background,composite,P_rated,V_ref,I_rated,C_bus,L_line,noise_frac,adc_bits,R_f,arc_place,t_ramp,smoothed,T1,T2,sched_tier,W_ms,di_end,di_max,didt_max,t_rise,dv_early,di_early,v_sag_end,v_min,r_dyn,collapse,spec_i,spec_v,has_period,period_strength,n_tiers,T1_est,T2_est,phase_err_t1,phase_err_t2,phase_err,resid_period,onset_found,t_on_rel,decision
00777,bolted_pp,train,False,171912.7961925082,764.1592976683136,224.96984165090618,0.0037764978185613287,8.885365455320215e-06,0.002916192880377991,12,0.0021681592177576797,,0.019784322175637477,True,0.47144843886699966,0.0,0,1.0,1.343808243575748,1.3484282724176373,0.05547077335813414,0.029,0.18636271125383633,1.3411810241619784,0.9888071702087413,-0.0029787873258843005,0.7352774456375837,1.0,1.7545158667553273,2.1640137677986244,1.0,0.6222365438639903,1.0,0.467,0.0,0.25433832975514203,,0.25433832975514203,1.339264026558325,1.0,0.0029028368495609413,TRIP
00778,bolted_pp,train,True,690989.5833203138,784.2313934806621,881.1042111608002,0.004163974923469688,2.589744857080095e-06,0.001321394210344037,16,0.00431322560059615,,0.001033953910479431,False,0.5382089605901202,0.0534076712097113,0,0.25,0.8249464469284178,0.827306593167305,0.03794197614479077,0.0275,0.16892942180163023,0.827403732187327,0.9871936365800066,-0.000654018235619521,1.1952271727195452,1.0,2.066709356713515,2.538501453658379,1.0,0.6000624092996663,1.0,0.54,0.0,0.19011153473209985,,0.19011153473209985,0.8210284949089971,1.0,0.004598530141342039,TRIP
00778,bolted_pp,train,True,690989.5833203138,784.2313934806621,881.1042111608002,0.004163974923469688,2.589744857080095e-06,0.001321394210344037,16,0.00431322560059615,,0.001033953910479431,False,0.5382089605901202,0.0534076712097113,0,0.5,0.8245571476375004,0.827306593167305,0.03794197614479077,0.0275,0.16892942180163023,0.827403732187327,0.9871510836388474,-0.0010771496734898315,1.1957392488984935,1.0,1.8504567802905392,2.4936402378359914,1.0,0.6000624092996663,1.0,0.54,0.0,0.19011153473209985,,0.19011153473209985,0.8012603178704402,1.0,0.004598530141342039,TRIP
00778,bolted_pp,train,True,690989.5833203138,784.2313934806621,881.1042111608002,0.004163974923469688,2.589744857080095e-06,0.001321394210344037,16,0.00431322560059615,,0.001033953910479431,False,0.5382089605901202,0.0534076712097113,0,1.0,0.824517108669384,0.827306593167305,0.03794197614479077,0.0275,0.16892942180163023,0.827403732187327,0.9872447249200075,-0.0013186630452850204,1.1959106777463466,1.0,1.828578825484465,2.500756896257069,1.0,0.6000624092996663,1.0,0.54,0.0,0.19011153473209985,,0.19011153473209985,0.6654293948226998,1.0,0.004598530141342039,TRIP
00779,bolted_pp,train,False,216045.53486385752,835.1123817314403,258.70234903705995,0.003161653034197234,2.8338123000809955e-05,0.0011255659357083379,16,0.017485065600230047,,0.00439433095623231,True,2.640409338569627,0.0,0,0.25,1.1105019096111535,1.1123987460170155,0.026000563525567125,0.055,0.11904773401660257,0.32389458601517956,0.8399229816725745,0.10099782367824348,0.7556649020660813,1.0,2.430908391714235,1.816034868054484,1.0,0.6000220686195794,1.0,2.6260000000000003,0.0,0.16807305256781646,,0.16807305256781646,1.1102649522648158,1.0,0.0031535269497950935,TRIP
00779,bolted_pp,train,False,216045.53486385752,835.1123817314403,258.70234903705995,0.003161653034197234,2.8338123000809955e-05,0.0011255659357083379,16,0.017485065600230047,,0.00439433095623231,True,2.640409338569627,0.0,0,0.5,1.1117054674910545,1.113327736542786,0.026000563525567125,0.055,0.11904773401660257,0.32389458601517956,0.9871369649157578,-0.0007990395413117182,0.8871502780889264,1.0,2.005529464470122,2.446182958540071,1.0,0.6000220686195794,1.0,2.6260000000000003,0.0,0.16807305256781646,,0.16807305256781646,1.1105583850204388,1.0,0.0031535269497950935,TRIP
00779,bolted_pp,train,False,216045.53486385752,835.1123817314403,258.70234903705995,0.003161653034197234,2.8338123000809955e-05,0.0011255659357083379,16,0.017485065600230047,,0.00439433095623231,True,2.640409338569627,0.0,0,1.0,1.1112675374974221,1.1140035762065716,0.026000563525567125,0.055,0.11904773401660257,0.32389458601517956,0.9870618487582149,-0.0010145000064418358,0.8874320390389913,1.0,2.109183212173084,2.475127155431417,1.0,0.6000220686195794,1.0,2.6260000000000003,0.0,0.16807305256781646,,0.16807305256781646,1.0981810888906791,1.0,0.0031535269497950935,TRIP
00780,bolted_pp,flat,False,312906.6076299303,832.326696384711,375.9420537501314,0.0014860213216698677,3.3130415767173866e-05,0.0007270951262222989,16,0.00233031489613963,,0.012725054588640134,True,0.0,0.0,0,0.25,1.0791546716003952,1.0802577519043033,0.04332219058314253,0.029,0.7976882295692043,1.0800972663950306,0.9610831003356902,-0.0006092474200451922,0.8897643324651975,1.0,2.537005633227412,3.0526350488997727,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0025000000185015914,TRIP
00780,bolted_pp,flat,False,312906.6076299303,832.326696384711,375.9420537501314,0.0014860213216698677,3.3130415767173866e-05,0.0007270951262222989,16,0.00233031489613963,,0.012725054588640134,True,0.0,0.0,0,0.5,1.078858366644509,1.0802577519043033,0.04332219058314253,0.029,0.7976882295692043,1.0800972663950306,0.9610907678685354,-0.0006419919929220737,0.8900155775566889,1.0,2.289002821987839,2.803668787455047,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0025000000185015914,TRIP
00780,bolted_pp,flat,False,312906.6076299303,832.326696384711,375.9420537501314,0.0014860213216698677,3.3130415767173866e-05,0.0007270951262222989,16,0.00233031489613963,,0.012725054588640134,True,0.0,0.0,0,1.0,1.0784573738737548,1.0807211710622882,0.04332219058314253,0.029,0.7976882295692043,1.0800972663950306,0.9611072902793846,-0.0006419919929220737,0.8903615034193916,1.0,2.28395835424531,2.7981025698901605,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0025000000185015914,TRIP
